Gene
206934_at	SIRPB1
207037_at	TNFRSF11A
207039_at	CDKN2A
207062_at	IAPP
207068_at	ZFP37
207075_at	NLRP3
207175_at	ADIPOQ
207255_at	LEPROT///LEPR
207269_at	DEFA4
207309_at	NOS1
207310_s_at	NOS1
207349_s_at	UCP3
207433_at	IL10
207446_at	TLR6
207475_at	FABP2
207500_at	CASP5
207507_s_at	ATP5G3
207508_at	ATP5G3
207530_s_at	CDKN2B
207673_at	NPHS1
207709_at	PRKAA2
207809_s_at	ATP6AP1
207845_s_at	ANAPC10
207851_s_at	INSR
207867_at	PAX4
207892_at	CD40LG
208010_s_at	PTPN22
208011_at	PTPN22
208016_s_at	AGTR1
208037_s_at	MADCAM1
208090_s_at	AIRE
208135_at	HNF1B
208262_x_at	MEFV
208306_x_at	HLA-DRB1
208315_x_at	TRAF3
208380_at	LBX1
208429_x_at	HNF4A
208452_x_at	MYO9B
208510_s_at	PPARG
208516_at	MTNR1B
208644_at	PARP1
208981_at	PECAM1
208982_at	PECAM1
208983_s_at	PECAM1
208991_at	STAT3
208992_s_at	STAT3
208997_s_at	UCP2
208998_at	UCP2
209018_s_at	PINK1
209019_s_at	PINK1
209101_at	CTGF
209184_s_at	IRS2
209185_s_at	IRS2
209231_s_at	DCTN5
209232_s_at	DCTN5
209241_x_at	MINK1
209310_s_at	CASP4
209312_x_at	LOC101060835///LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB1///HLA-DQB1
209341_s_at	IKBKB
209342_s_at	IKBKB
209383_at	DDIT3
209480_at	HLA-DQB1
209540_at	IGF1
209541_at	IGF1
209542_x_at	IGF1
209554_at	CD36
209555_s_at	CD36
209644_x_at	CDKN2A
209666_s_at	CHUK
209681_at	SLC19A2
209823_x_at	LOC101060835///HLA-DQB1
209894_at	LEPROT///LEPR
209969_s_at	STAT1
209970_x_at	CASP1
210053_at	TAF5
210095_s_at	IGFBP3
210176_at	TLR1
210245_at	ABCC8
210246_s_at	ABCC8
210446_at	GATA1
210512_s_at	VEGFA
210513_s_at	VEGFA
210515_at	HNF1A
210599_at	ZNF614
210643_at	TNFSF11
210747_at	HLA-DQB1
210771_at	PPARA
210881_s_at	INS-IGF2///IGF2
210895_s_at	CD86
210910_s_at	POMZP3
210984_x_at	EGFR
211004_s_at	ALDH3B1
211027_s_at	IKBKB
211063_s_at	NCK1
211150_s_at	DLAT
211152_s_at	HTRA2
211153_s_at	TNFSF11
211156_at	CDKN2A
211167_s_at	GCK
211176_s_at	PAX4
211217_s_at	KCNQ1
211230_s_at	PIK3CD
211269_s_at	IL2RA
211354_s_at	LEPROT///LEPR
211355_x_at	LEPROT///LEPR
211356_x_at	LEPROT///LEPR
211366_x_at	CASP1
211367_s_at	CASP1
211368_s_at	CASP1
211411_at	
211421_s_at	RET
211452_x_at	LRRFIP1
211503_s_at	RAB14
211527_x_at	VEGFA
211550_at	EGFR
211551_at	EGFR
211577_s_at	IGF1
211607_x_at	EGFR
211654_x_at	HLA-DQB1
211656_x_at	LOC101060835///HLA-DQB1
211657_at	CEACAM6
211711_s_at	PTEN
211856_x_at	CD28
211861_x_at	CD28
211936_at	HSPA5
212024_x_at	FLII
212025_s_at	FLII
212041_at	ATP6V0D1
212046_x_at	MAPK3
212059_s_at	TRPC4AP
212086_x_at	LMNA
212089_at	LMNA
212143_s_at	IGFBP3
212171_x_at	VEGFA
212236_x_at	KRT17///JUP
212531_at	LCN2
212552_at	HPCAL1
212564_at	KCTD2
212568_s_at	DLAT
212759_s_at	TCF7L2
212761_at	TCF7L2
212762_s_at	TCF7L2
212798_s_at	ANKMY2
212833_at	SLC25A46
212838_at	DNMBP
212884_x_at	APOE
212998_x_at	LOC101060835///HLA-DQB1
212999_x_at	LOC101060835///HLA-DQB1
213149_at	DLAT
213294_at	EIF2AK2
213427_at	RPP40
213495_s_at	RRBP1
213539_at	CD3D
213596_at	CASP4
213792_s_at	INSR
213973_at	RRBP1
214105_at	SOCS3
214121_x_at	PDLIM7
214122_at	PDLIM7
214135_at	CLDN18
214213_x_at	LMNA
214224_s_at	PIN4
214225_at	PIN4
214266_s_at	PDLIM7
214333_x_at	IDH3G
214631_at	ZBTB33
214667_s_at	TP53I11
214687_x_at	ALDOA
214780_s_at	MYO9B
214832_at	HNF4A
214851_at	HNF4A
214853_s_at	SHC1
215075_s_at	GRB2
215078_at	LOC100129518///SOD2
215193_x_at	LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1
215223_s_at	LOC100129518///SOD2
215333_x_at	GSTM1
215346_at	CD40
215375_x_at	LRRFIP1
215459_at	CTNS
215702_s_at	CFTR
215703_at	CFTR
215771_x_at	RET
215933_s_at	HHEX
216015_s_at	NLRP3
216016_at	NLRP3
216020_at	IFIH1
216035_x_at	TCF7L2
216037_x_at	TCF7L2
216066_at	ABCA1
216092_s_at	SLC7A8
216401_x_at	MLIP
216439_at	TNK2
216511_s_at	TCF7L2
216549_s_at	TBC1D22B
216598_s_at	CCL2
216603_at	SLC7A8
216604_s_at	SLC7A8
216706_x_at	SKAP2///IGHG1
216841_s_at	LOC100129518///SOD2
216889_s_at	HNF4A
216899_s_at	SKAP2
216919_at	TP53I11
216930_at	HNF1A
217005_at	LDLR
217026_at	CFTR
217035_at	SKAP2
217103_at	LDLR
217133_x_at	CYP2B6
217173_s_at	LDLR
217240_at	SIRPB1
217248_s_at	SLC7A8
217297_s_at	MYO9B
217492_s_at	PTENP1///PTEN
217545_at	MYH14
217660_at	MYH14
217811_at	SELT
217845_x_at	HIGD1A
217943_s_at	MAP7D1
217970_s_at	CNOT6
218022_at	VRK3
218055_s_at	WDR41
218140_x_at	SRPRB
218154_at	GSDMD
218318_s_at	NLK
218321_x_at	STYXL1
218335_x_at	TNIP2
218361_at	GOLPH3L
218364_at	LRRFIP2
218546_at	C1orf115
218628_at	CCDC53
218654_s_at	MRPS33
218679_s_at	VPS28
218696_at	EIF2AK3
218746_at	TAPBPL
218747_s_at	TAPBPL
218847_at	IGF2BP2
218874_s_at	ATAT1
218878_s_at	SIRT1
218929_at	CDKN2AIP
219195_at	PPARGC1A
219209_at	IFIH1
219333_s_at	CAPN10
219350_s_at	DIABLO
219553_at	NME7
219680_at	NLRX1
219698_s_at	METTL4
219725_at	TREM2
219773_at	NOX4
219819_s_at	MRPS28
219825_at	CYP26B1
219827_at	UCP3
219946_x_at	MYH14
219962_at	ACE2
219967_at	MRM1
220022_at	ZNF334
220060_s_at	PARPBP
220207_at	YIF1B
220505_at	CDKN2A-AS1
220561_at	IGF2-AS
220605_s_at	SIRT2
220610_s_at	LRRFIP2
220618_s_at	ZCWPW1
220629_at	KCNQ1DN
220646_s_at	KLRF1
220721_at	ZNF614
220788_s_at	RNF31///IRF9
220973_s_at	SHARPIN
221040_at	CAPN10
221060_s_at	TLR4
221132_at	CLDN18
221133_s_at	CLDN18
221331_x_at	CTLA4
221333_at	FOXP3
221334_s_at	FOXP3
221384_at	UCP1
221477_s_at	LOC100129518///SOD2
221491_x_at	LOC101060835///LOC100996809///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1
221561_at	SOAT1
221571_at	TRAF3
221666_s_at	PYCARD
221896_s_at	HIGD1A
221998_s_at	VRK3
221999_at	VRK3
222065_s_at	FLII
222170_at	ZNF213-AS1
222257_s_at	ACE2
222292_at	CD40
222476_at	CNOT6
222503_s_at	WDR41
222532_at	SRPRB
222589_at	NLK
222590_s_at	NLK
222591_at	STYXL1
223016_x_at	ZRANB2
223024_at	AP1M1
223025_s_at	AP1M1
223049_at	GRB2
223197_s_at	SMARCAD1
223253_at	EPDR1
223375_at	TBC1D22B
223437_at	PPARA
223438_s_at	PPARA
223492_s_at	LRRFIP1
223562_at	PARVG
223679_at	CTNNB1
223710_at	CCL26
223716_s_at	ZRANB2
223726_at	KCNH3
223963_s_at	IGF2BP2
223992_x_at	ZCWPW1
224147_at	PARPBP
224211_at	FOXP3
224341_x_at	TLR4
224657_at	ERRFI1
224683_at	FBXO18
224745_x_at	OTUD5
224850_at	ATAD1
224999_at	EGFR
225022_at	GOPC
225023_at	GOPC
225122_at	RNF31
225289_at	STAT3
225363_at	PTEN
225420_at	GPAM
225424_at	GPAM
225561_at	SELT
225639_at	SKAP2
225666_at	TMTC4
225844_at	POLE4
226019_at	OMA1
226020_s_at	OMA1///DAB1
226076_s_at	MBD6
226178_at	SOCS4
226212_s_at	INSR
226216_at	INSR
226255_at	ZBTB33
226327_at	ZNF507
226351_at	NSUN4
226437_at	YIF1B
226450_at	INSR
226831_at	SLC25A46
226978_at	PPARA
226988_s_at	MYH14
227045_at	ZNF614
227095_at	LEPROT
227142_at	PLEKHG5
227177_at	CORO2A
227207_x_at	ZNF213
227214_at	GOPC
227215_at	GOPC
227264_at	TRAF6
227302_s_at	LLGL1///FLII
227391_x_at	LRRFIP1
227513_s_at	LRRFIP1
227556_at	NME7
227585_at	ATAD1
227697_at	SOCS3
227737_at	SRPRB
227759_at	PCSK9
227803_at	ENPP5
227811_at	FGD3
227832_at	MBD6
227833_s_at	MBD6
227888_at	RRBP1
227892_at	PRKAA2
227928_at	PARPBP
228006_at	PTEN
228039_at	DDX46
228168_at	ATP5G3
228479_at	SOAT1
228484_s_at	FOXO1
228510_at	ATAT1
228572_at	GRB2
228641_at	CARD8
228766_at	CD36
228799_at	NCK1-AS1
228952_at	ENPP1
229088_at	ENPP1
229093_at	NOS3
229408_at	HDAC5
229596_at	AMDHD1
229625_at	GBP5
230023_at	NSUN4
230031_at	HSPA5
230159_at	C1orf115
230370_x_at	STYXL1
230772_at	HNF4A
230914_at	HNF4A
230968_at	HDAC9
231030_at	ZRANB2-AS1
231211_s_at	YIF1B
231635_x_at	RNF31
231740_at	KCNJ11
231794_at	CTLA4
231916_at	NOS1
232017_at	TJP2
232068_s_at	TLR4
232160_s_at	TNIP2
232181_at	PPARGC1B
232194_at	METTL4
232343_at	DCTN5
232353_s_at	STYXL1
232571_at	CAPN10-AS1
232578_at	CLDN18
232673_at	LRRFIP2
232704_s_at	LRRFIP2
