x
1	ILMN_1651611
2	ILMN_1652040
3	ILMN_1652300
4	ILMN_1652357
5	ILMN_1654151
6	ILMN_1654376
7	ILMN_1654429
8	ILMN_1654497
9	ILMN_1654560
10	ILMN_1655570
11	ILMN_1656079
12	ILMN_1656300
13	ILMN_1656413
14	ILMN_1656913
15	ILMN_1657129
16	ILMN_1657529
17	ILMN_1658003
18	ILMN_1658713
19	ILMN_1659077
20	ILMN_1659346
21	ILMN_1659601
22	ILMN_1659988
23	ILMN_1660063
24	ILMN_1660727
25	ILMN_1660787
26	ILMN_1661266
27	ILMN_1661537
28	ILMN_1661799
29	ILMN_1662383
30	ILMN_1662438
31	ILMN_1662484
32	ILMN_1662944
33	ILMN_1663618
34	ILMN_1664122
35	ILMN_1664779
36	ILMN_1664978
37	ILMN_1665132
38	ILMN_1665335
39	ILMN_1665428
40	ILMN_1665510
41	ILMN_1666192
42	ILMN_1666314
43	ILMN_1666924
44	ILMN_1666966
45	ILMN_1667018
46	ILMN_1668778
47	ILMN_1668850
48	ILMN_1669425
49	ILMN_1669703
50	ILMN_1670079
51	ILMN_1670576
52	ILMN_1670918
53	ILMN_1671532
54	ILMN_1671791
55	ILMN_1671885
56	ILMN_1672325
57	ILMN_1672486
58	ILMN_1672547
59	ILMN_1672743
60	ILMN_1672768
61	ILMN_1672899
62	ILMN_1673138
63	ILMN_1673175
64	ILMN_1673708
65	ILMN_1674167
66	ILMN_1674373
67	ILMN_1674522
68	ILMN_1674817
69	ILMN_1675424
70	ILMN_1675797
71	ILMN_1676437
72	ILMN_1676984
73	ILMN_1677041
74	ILMN_1677104
75	ILMN_1678454
76	ILMN_1678551
77	ILMN_1679527
78	ILMN_1679858
79	ILMN_1679901
80	ILMN_1681374
81	ILMN_1681526
82	ILMN_1681882
83	ILMN_1681890
84	ILMN_1682490
85	ILMN_1682762
86	ILMN_1683774
87	ILMN_1684575
88	ILMN_1684802
89	ILMN_1685521
90	ILMN_1685625
91	ILMN_1686405
92	ILMN_1686871
93	ILMN_1686920
94	ILMN_1687612
95	ILMN_1689518
96	ILMN_1690105
97	ILMN_1691487
98	ILMN_1691966
99	ILMN_1692223
100	ILMN_1693675
101	ILMN_1694778
102	ILMN_1694823
103	ILMN_1695640
104	ILMN_1695842
105	ILMN_1695851
106	ILMN_1696284
107	ILMN_1696521
108	ILMN_1697448
109	ILMN_1697694
110	ILMN_1698546
111	ILMN_1698766
112	ILMN_1698952
113	ILMN_1699100
114	ILMN_1699447
115	ILMN_1699829
116	ILMN_1700353
117	ILMN_1700488
118	ILMN_1700888
119	ILMN_1701025
120	ILMN_1701134
121	ILMN_1701248
122	ILMN_1701967
123	ILMN_1702443
124	ILMN_1702447
125	ILMN_1702691
126	ILMN_1704063
127	ILMN_1705813
128	ILMN_1706216
129	ILMN_1706217
130	ILMN_1706301
131	ILMN_1706502
132	ILMN_1706775
133	ILMN_1706817
134	ILMN_1707156
135	ILMN_1709613
136	ILMN_1709800
137	ILMN_1711566
138	ILMN_1712522
139	ILMN_1713379
140	ILMN_1714861
141	ILMN_1715169
142	ILMN_1715569
143	ILMN_1716272
144	ILMN_1716583
145	ILMN_1718424
146	ILMN_1718822
147	ILMN_1720048
148	ILMN_1720311
149	ILMN_1720578
150	ILMN_1720838
151	ILMN_1721022
152	ILMN_1722158
153	ILMN_1722634
154	ILMN_1723198
155	ILMN_1723475
156	ILMN_1723494
157	ILMN_1723927
158	ILMN_1724643
159	ILMN_1724682
160	ILMN_1724984
161	ILMN_1726470
162	ILMN_1726641
163	ILMN_1726679
164	ILMN_1727001
165	ILMN_1727055
166	ILMN_1727142
167	ILMN_1727762
168	ILMN_1727965
169	ILMN_1728662
170	ILMN_1728858
171	ILMN_1729515
172	ILMN_1729594
173	ILMN_1730928
174	ILMN_1731048
175	ILMN_1733348
176	ILMN_1733811
177	ILMN_1735304
178	ILMN_1735765
179	ILMN_1735996
180	ILMN_1736237
181	ILMN_1736700
182	ILMN_1737050
183	ILMN_1737170
184	ILMN_1737394
185	ILMN_1738173
186	ILMN_1738675
187	ILMN_1738680
188	ILMN_1738816
189	ILMN_1739083
190	ILMN_1739792
